id,match,selected_team,user_id,username,date
9,1,Cowboys,2,joshuajohnston,2026-02-25T07:19:35.360661
10,2,Bulldogs,2,joshuajohnston,2026-02-25T07:19:35.360674
11,1,Knights,17,mitchk,2026-02-25T08:58:16.323043
12,2,Dragons,17,mitchk,2026-02-25T08:58:16.323055
13,1,Cowboys,6,zacenglish,2026-02-26T09:29:42.925425
14,2,Dragons,6,zacenglish,2026-02-26T09:29:42.925434
15,1,Knights,9,spies,2026-02-27T06:14:14.834402
16,2,Bulldogs,9,spies,2026-02-27T06:14:14.834413
17,1,Knights,3,peterjohnston,2026-02-27T06:50:39.332995
18,2,Bulldogs,3,peterjohnston,2026-02-27T06:50:39.333007
19,1,Knights,13,craigduncan,2026-02-27T09:51:13.309092
20,2,Bulldogs,13,craigduncan,2026-02-27T09:51:13.309104
21,1,Knights,12,frenchy,2026-02-27T22:03:24.311665
22,2,Bulldogs,12,frenchy,2026-02-27T22:03:24.311675
23,1,Cowboys,16,tipperbot_3000,2026-02-28T01:18:49.905499
24,2,Bulldogs,16,tipperbot_3000,2026-02-28T01:18:50.276919
25,1,Knights,11,cookie,2026-02-28T01:21:47.118042
26,2,Bulldogs,11,cookie,2026-02-28T01:21:47.118058
27,1,Cowboys,18,jackharb,2026-02-28T05:57:44.226765
28,2,Bulldogs,18,jackharb,2026-02-28T05:57:44.226777
29,3,Storm,15,travis,2026-02-28T06:20:20.057005
30,4,Roosters,15,travis,2026-02-28T06:20:20.057014
31,5,Panthers,15,travis,2026-02-28T06:20:20.057018
32,6,Sharks,15,travis,2026-02-28T06:20:20.057021
33,7,Raiders,15,travis,2026-02-28T06:20:20.057024
34,8,Rabbitohs,15,travis,2026-02-28T06:20:20.057027
35,1,Cowboys,15,travis,2026-02-28T08:19:19.505216
36,2,Dragons,15,travis,2026-03-01T03:02:43.919124
37,3,Storm,17,mitchk,2026-03-01T01:15:40.645807
38,4,Roosters,17,mitchk,2026-03-01T01:15:40.645819
39,5,Broncos,17,mitchk,2026-03-01T01:15:40.645823
40,6,Sharks,17,mitchk,2026-03-01T01:15:40.645826
41,7,Raiders,17,mitchk,2026-03-01T01:15:40.645829
42,8,Rabbitohs,17,mitchk,2026-03-01T01:15:40.645832
